species,cs_flux,carbon,growth
Pantoea agglomerans,8.0,Citrate,0.7317589461217575
Pseudomonas asiatica,8.0,Citrate,0.6993588222609908
Pseudomonas delhiensis,8.0,Citrate,0.749737419145474
Sphingomonas paucimobilis,8.0,Citrate,1.0716904092009025
Agrobacterium tumefaciens,0.25,Glucose,0.03515744288105008
Alcaligenes faecalis,0.25,Glucose,0.03237220922421504
Delftia acidovorans,0.25,Glucose,0.03515727807571738
Pandoraea vervacti,0.25,Glucose,0.0351574428810502
Pantoea agglomerans,0.25,Glucose,0.03355047949226943
Pseudomonas asiatica,0.25,Glucose,0.033968568973711394
Pseudomonas delhiensis,0.25,Glucose,0.03413845775557019
Sphingomonas paucimobilis,0.25,Glucose,0.03515744288105022
Agrobacterium tumefaciens,0.5,Glucose,0.07031488576210006
Alcaligenes faecalis,0.5,Glucose,0.06474441844842983
Delftia acidovorans,0.5,Glucose,0.07031455615143493
Pandoraea vervacti,0.5,Glucose,0.0703148857621004
Pantoea agglomerans,0.5,Glucose,0.06710095898453879
Pseudomonas asiatica,0.5,Glucose,0.06793713794742298
Pseudomonas delhiensis,0.5,Glucose,0.06827691551114029
Sphingomonas paucimobilis,0.5,Glucose,0.07031488576210045
Agrobacterium tumefaciens,1.0,Glucose,0.14062977152420023
Alcaligenes faecalis,1.0,Glucose,0.12948883689685992
Delftia acidovorans,1.0,Glucose,0.14062911230286948
Pandoraea vervacti,1.0,Glucose,0.1406297715242008
Pantoea agglomerans,1.0,Glucose,0.1342019179690774
Pseudomonas asiatica,1.0,Glucose,0.1358742758948461
Pseudomonas delhiensis,1.0,Glucose,0.13655383102228105
Sphingomonas paucimobilis,1.0,Glucose,0.1406297715242009
Agrobacterium tumefaciens,4.0,Glucose,0.5625190860968053
Alcaligenes faecalis,4.0,Glucose,0.5179553475874379
Delftia acidovorans,4.0,Glucose,0.5625164492114799
Pandoraea vervacti,4.0,Glucose,0.5625190860968032
Pantoea agglomerans,4.0,Glucose,0.5368076718763096
Pseudomonas asiatica,4.0,Glucose,0.5434971035793844
Pseudomonas delhiensis,4.0,Glucose,0.5462153240891238
Sphingomonas paucimobilis,4.0,Glucose,0.5625190860968036
Agrobacterium tumefaciens,2.0,Glucose,0.28125954304840267
Alcaligenes faecalis,2.0,Glucose,0.25897767379371894
Delftia acidovorans,2.0,Glucose,0.28125822460573996
Pandoraea vervacti,2.0,Glucose,0.2812595430484016
Pantoea agglomerans,2.0,Glucose,0.2684038359381548
Pseudomonas asiatica,2.0,Glucose,0.2717485517896922
Pseudomonas delhiensis,2.0,Glucose,0.2731076620445619
Sphingomonas paucimobilis,2.0,Glucose,0.2812595430484018
Agrobacterium tumefaciens,8.0,Glucose,1.1250381721936153
Alcaligenes faecalis,8.0,Glucose,1.035910695174878
