metabolite,name,formula,carbon_atom
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",C41H78NO8P,Presence
pe181_p,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",C41H78NO8P,Presence
peng_p,Penicillin G C16H18N2O4S,C16H17N2O4S,Presence
phe__L_p,L-Phenylalanine,C9H11NO2,Presence
ppi50_c,Polyphosphate 50,HO151P50,Absence
pppn_c,Phenylpropanoate,C9H9O2,Presence
pppn_e,Phenylpropanoate,C9H9O2,Presence
pppn_p,Phenylpropanoate,C9H9O2,Presence
pqq_p,Pyrroloquinoline-quinone,C14H2N2O8,Presence
pqqh2_p,Reduced pyrroloquinoline-quinone,C14H4N2O8,Presence
prpncoa_c,Propenoyl-CoA,C24H34N7O17P3S,Presence
ptd1ino160_c,Phosphatidyl 1D myo inositol,C41H78O13P,Presence
rbflvrd_c,Reduced riboflavin,C17H24N4O6,Presence
rephaccoa_c,"Ring 1,2-epoxyphenylacetyl-CoA",C29H38N7O18P3S,Presence
s17bp_c,"Sedoheptulose 1,7-bisphosphate",C7H12O13P2,Presence
salchs1_c,Salmochelin-S1,C26H29N2O16,Presence
salchs2_c,Salmochelin-S2,C42H47N3O26,Presence
salchs2_e,Salmochelin-S2,C42H48N3O26,Presence
salchs2_p,Salmochelin-S2,C42H48N3O26,Presence
salchs2fe_c,Salmochelin-S2-Fe-III,C42FeH48N3O26,Presence
salchs2fe_e,Salmochelin-S2-Fe-III,C42FeH48N3O26,Presence
salchs2fe_p,Salmochelin-S2-Fe-III,C42FeH48N3O26,Presence
salchsx_c,Salmochelin-SX,C16H20NO11,Presence
salchsx_e,Salmochelin-SX,C16H20NO11,Presence
salchsx_p,Salmochelin-SX,C16H20NO11,Presence
ser__D_e,D-Serine,C3H7NO3,Presence
ser__D_p,D-Serine,C3H7NO3,Presence
tet_e,Tetrathionate,O6S4,Absence
tet_p,Tetrathionate,O6S4,Absence
tre6p_e,"Alpha,alpha'-Trehalose 6-phosphate",C12H21O14P,Presence
trp__L_p,L-Tryptophan,C11H12N2O2,Presence
ttdca_e,Tetradecanoate (n-C14:0),C14H27O2,Presence
ttdcea_e,Tetradecenoate (n-C14:1),C14H25O2,Presence
tton_e,Trithionate,H2O6S3,Absence
tton_p,Trithionate,H2O6S3,Absence
tyr__L_p,L-Tyrosine,C9H11NO3,Presence
ura_p,Uracil,C4H4N2O2,Presence
urate_e,Urate C5H4N4O3,C5H4N4O3,Presence
urate_p,Urate C5H4N4O3,C5H4N4O3,Presence
vanlt_e,Vanillate,C8H7O4,Presence
vanlt_p,Vanillate,C8H7O4,Presence
xan_e,Xanthine,C5H4N4O2,Presence
xan_p,Xanthine,C5H4N4O2,Presence
12dgr120_p,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,Presence
1agpe161_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,Presence
1agpg161_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P,Presence
34dhbz_e,"3,4-Dihydroxybenzoate",C7H5O4,Presence
34dhbz_p,"3,4-Dihydroxybenzoate",C7H5O4,Presence
3gmp_e,Guanosine 3  phosphate C10H12N5O8P,C10H12N5O8P,Presence
4ahmmp_e,4-Amino-5-hydroxymethyl-2-methylpyrimidine,C6H9N3O,Presence
R_3h6atha_e, 3 Hydroxy 6acetylthiohexanoic acid,C2H3O,Presence
R_3h6atha_p, 3 Hydroxy 6acetylthiohexanoic acid,C2H3O,Presence
R_3hnonaa_e, 3 hydroxynonanoic acid,C9H15O3,Presence
R_3hnonaa_p, 3 hydroxynonanoic acid,C9H15O3,Presence
abt__D_c,D-Arabitol,C5H12O5,Presence
abt__D_e,D-Arabitol,C5H12O5,Presence
alltn__R_c,    Allantoin,C4H6N4O3,Presence
cro4_e,Chromate,O2,Absence
d23hb_e,"2,3-dihydroxybenzoate",C7H6O4,Presence
fe3hox_e,Fe(III)hydroxamate,C9H23FeN3O6,Presence
fe3hox_un_e,"Fe(III)hydoxamate, unloaded",C9H23N3O6,Presence
ficytC_c,Ferricytochrome c,C42H52FeN8O6S2,Presence
ficytb_c,Ferricytochrome b,C33FeH32N4O4,Presence
focytC_c,Ferrocytochrome C,C42H52FeN8O6S2,Presence
forcoa_c,Formyl-CoA(4-),C22H32N7O17P3S,Presence
galct__D_e,D-Galactarate,C6H8O8,Presence
galct__D_p,D-Galactarate,C6H8O8,Presence
galctr__D_c,D Galactarate C6H8O8,C6H8O8,Presence
galctr__D_e,D Galactarate C6H8O8,C6H8O8,Presence
glcr_e,D-Glucarate,C6H8O8,Presence
glcr_p,D-Glucarate,C6H8O8,Presence
glyald_e,D-Glyceraldehyde,C3H6O3,Presence
gthox_e,Oxidized glutathione,C20H30N6O12S2,Presence
istfrnB_e,Iron bound extracellular staphyloferrin B,C19FeH22N2O18,Presence
leu__D_c,D Leucine,C6H11NO2,Presence
leu__D_e,D Leucine,C6H11NO2,Presence
leu__D_p,D Leucine,C6H11NO2,Presence
ncam_e,Nicotinamide,C6H6N2O,Presence
pea_c,Phenylethyl alcohol,C8H9O,Presence
pea_e,Phenylethyl alcohol,C8H9O,Presence
pea_p,Phenylethyl alcohol,C8H9O,Presence
pnto__R_e,(R)-Pantothenate,C9H16NO5,Presence
pnto__R_p,(R)-Pantothenate,C9H16NO5,Presence
quin_e,Quinate,C7H11O6,Presence
ribflv_e,Riboflavin C17H20N4O6,C17H22N4O6,Presence
stfrnB_e,Staphyloferrin B,C19H22N2O18,Presence
tcb_c,Tricarballylate,C6H5O6,Presence
tcb_e,Tricarballylate,C6H5O6,Presence
tcb_p,Tricarballylate,C6H5O6,Presence
thrp_c,L-Threonine O-3-phosphate,C4H8NO6P,Presence
thym_p,Thymine C5H6N2O2,C5H6N2O2,Presence
tyr__D_c,D Tyrosine,C9H9NO3,Presence
tyr__D_e,D Tyrosine,C9H9NO3,Presence
tyr__D_p,D Tyrosine,C9H9NO3,Presence
12ppd__R_e,"(R)-Propane-1,2-diol",C3H8O2,Presence
12ppd__R_p,"(R)-Propane-1,2-diol",C3H8O2,Presence
12ppd__S_e,"(S)-Propane-1,2-diol",C3H8O2,Presence
12ppd__S_p,"(S)-Propane-1,2-diol",C3H8O2,Presence
15dap_e,"1,5-Diaminopentane",C5H16N2,Presence
15dap_p,"1,5-Diaminopentane",C5H16N2,Presence
26dap__M_e,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,Presence
26dap__M_p,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,Presence
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,Presence
2ddglcn_p,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,Presence
2ptcoa_c,2 Pentenoyl CoA,C26H38N7O17P3S,Presence
34dhbald_c,"3,4-dihydroxybenzaldehyde",C7H6O3,Presence
34dhcinm_c,"3,4-Dihydroxy-trans-cinnamate",C9H7O4,Presence
34dhcinm_e,"3,4-Dihydroxy-trans-cinnamate",C9H7O4,Presence
34dhcinm_p,"3,4-Dihydroxy-trans-cinnamate",C9H7O4,Presence
34dhsa_c,"3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione",C19H23O4,Presence
3hoxpac_c,3 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
3hoxpac_e,3 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
3hoxpac_p,3 Hydroxyphenylacetic acid C8H8O3,C8H7O3,Presence
3hsa_c,Secophenol,C19H23O3,Presence
3oxoadp_e,3-Oxoadipate,C6H6O5,Presence
3oxoadp_p,3-Oxoadipate,C6H6O5,Presence
3ptcoa_c,3 Pentenoyl CoA,C26H38N7O17P3S,Presence
49dsha_c,"9,10-disecoandrosta-1(10),2-dien-4-oate",C19H23O6,Presence
4hoxoh_c,4-Hydroxy-2-oxohexanoic acid,C6H9O4,Presence
4hphac_p,4-Hydroxyphenylacetate,C8H7O3,Presence
4hpro_DC_e,Cis 4 Hydroxy D proline,C5H9NO3,Presence
4hpro_DC_p,Cis 4 Hydroxy D proline,C5H9NO3,Presence
4hpro_LT_p,Trans 4 Hydroxy L proline C5H9NO3,C5H9NO3,Presence
4hptcoa_c,4 Hydroxypentanoyl CoA,C26H40N7O18P3S,Presence
4oxptcoa_c,4 Oxopentanoyl CoA,C26H38N7O18P3S,Presence
4oxptn_c,4 Oxopentanoate,C5H7O3,Presence
4oxptn_e,4 Oxopentanoate,C5H7O3,Presence
4oxptn_p,4 Oxopentanoate,C5H7O3,Presence
4poptcoa_c,4 Phosphooxypentanoyl CoA,C26H39N7O21P4S,Presence
