species,carbon,number_nzfmtb_ca,cs_flux,growth,theta_rank,growthability
Pantoea agglomerans,Succinate,266.0,0.5,0.052074784039021924,0,1
Pantoea agglomerans,Alanine,262.0,0.5,0.06784510251890546,1,1
Pantoea agglomerans,Glutamine,270.0,0.5,0.0591869007998885,2,1
Pantoea agglomerans,Proline,269.0,0.5,0.08271111006221911,3,1
Pantoea agglomerans,Acetate,297.0,0.5,0.05376315549606627,4,0
Pantoea agglomerans,Mannitol,267.0,0.5,0.06953415305125987,5,1
Pantoea agglomerans,Citrate,269.0,0.5,0.04573493413260994,6,1
Pantoea agglomerans,Glucose,273.0,0.5,0.06710095898453879,7,1
Pantoea agglomerans,Ribose,263.0,0.5,0.06710095898453872,8,1
Pantoea agglomerans,Glycerol,269.0,0.5,0.06877245759459212,9,1
Pantoea agglomerans,Cellobiose,270.0,0.5,0.07063184555546927,10,1
Pantoea agglomerans,Serine,262.0,0.5,0.047929712495712325,11,0
Pantoea agglomerans,Isoleucine,285.0,0.5,0.02496572718319236,12,0
Pantoea agglomerans,Sorbitol,271.0,0.5,0.06953415305125978,13,1
Pantoea agglomerans,Uridine,274.0,0.5,0.05277946995343522,14,1
Pantoea agglomerans,Raffinose,,0.5,0.0,15,0
Pseudomonas asiatica,Succinate,274.0,0.5,0.05272371424164699,0,1
Pseudomonas asiatica,Alanine,271.0,0.5,0.06869055463046349,1,1
Pseudomonas asiatica,Glutamine,268.0,0.5,0.05656627972376113,2,1
Pseudomonas asiatica,Proline,277.0,0.5,0.08271078168733301,3,1
Pseudomonas asiatica,Acetate,270.0,0.5,0.05376294204868231,4,1
Pseudomonas asiatica,Mannitol,266.0,0.5,0.0695349679024518,5,1
Pseudomonas asiatica,Citrate,269.0,0.5,0.04370992639131166,6,1
Pseudomonas asiatica,Glucose,264.0,0.5,0.06793713794742298,7,1
Pseudomonas asiatica,Ribose,270.0,0.5,0.06793713794742295,8,1
Pseudomonas asiatica,Glycerol,269.0,0.5,0.06877326351968858,9,1
Pseudomonas asiatica,Cellobiose,283.0,0.5,0.07151202468043173,10,1
Pseudomonas asiatica,Serine,262.0,0.5,0.04852698886690778,11,1
Pseudomonas asiatica,Isoleucine,260.0,0.5,0.07334747713407685,12,1
Pseudomonas asiatica,Sorbitol,257.0,0.5,0.06953496790245148,13,1
Pseudomonas asiatica,Uridine,254.0,0.5,0.05699107361010399,14,1
Pseudomonas asiatica,Raffinose,,0.5,0.0,15,0
Pseudomonas delhiensis,Succinate,267.0,0.5,0.05298740411314307,0,1
Pseudomonas delhiensis,Alanine,261.0,0.5,0.06903410029646966,1,1
Pseudomonas delhiensis,Glutamine,266.0,0.5,0.060641054664392256,2,1
Pseudomonas delhiensis,Proline,258.0,0.5,0.09169090419060293,3,1
Pseudomonas delhiensis,Acetate,263.0,0.5,0.06043200101413465,4,1
Pseudomonas delhiensis,Mannitol,286.0,0.5,0.06953751199076107,5,1
Pseudomonas delhiensis,Citrate,267.0,0.5,0.04685858869659196,6,1
Pseudomonas delhiensis,Glucose,270.0,0.5,0.06827691551114029,7,1
Pseudomonas delhiensis,Ribose,286.0,0.5,0.06827691551114043,8,1
